SS,Pos10wrtsRNAStart,DistTerm,Distance,sameStrand,DownDistance,sameDownStrand
-57.3,26,1000,0,0,0,0
-57.8,-57,867,0,0,0,0
-5.8,-1000,805,-72,0,0,0
-5.8,-100,1000,0,0,0,0
-58.5,-1000,1000,-27,0,443,1
-58,55,1000,0,0,0,0
-5.8,7,1000,0,1,52,1
-5.9,11,1000,0,1,0,1
-59.17,103,0,0,1,15,0
-59.9,53,1000,0,1,0,1
-60,-1000,1000,0,0,0,0
-6.1,-22,1000,0,0,0,0
-61.6,-1000,1000,0,0,0,0
-61.6,100,220,0,1,0,1
-6.2,29,1000,0,0,0,0
-62.2,-95,0,-2393,0,3819,1
-62.9,-1000,1000,0,0,0,0
-6,4,1000,0,1,0,1
-6.4,-1000,1000,0,0,0,0
-64.4,-1000,1000,0,1,0,1
-64,-42,1000,0,1,0,1
-65.3,-1000,1000,0,0,0,0
-65.6,-6,1000,-133,1,315,0
-6.64,54,485,0,1,0,1
-6.64,-94,190,0,1,0,1
-66.5,-1000,1000,0,1,0,1
-68.49,190,1000,0,0,0,0
-68.8,-1000,1000,0,0,0,0
-6.8,-8,1000,-115,1,42,1
-6.9,-102,28,0,0,67,0
-70,-23,0,0,1,0,0
-7.1,-15,1000,0,0,0,0
-71.6,283,1000,0,0,0,1
-7.1,-96,1000,0,1,0,1
-72.2,-61,1000,-52,1,0,1
-72.37,285,1000,-410,1,0,1
-7.3,-1000,1000,0,0,0,0
-7.3,4,907,-387,1,0,1
-7.4,15,1000,0,0,0,0
-7.4,-15,1000,0,1,0,1
-7.4,17,0,0,0,0,0
-74.6,-1000,1000,0,0,0,0
-74.9,-1000,1000,0,0,0,0
-7.5,-1000,1000,0,0,0,0
-7.5,-18,497,0,1,0,1
-75.2,60,1000,0,1,0,1
-7.6,-15,1000,0,1,0,1
-7.6,-28,913,0,1,0,1
-77.1,-105,998,0,0,0,0
-77.2,-67,708,0,1,0,1
-77.4,-1000,399,0,1,0,1
-7.7,-87,1000,0,0,0,0
-78.4,128,1000,0,1,0,0
-7,-89,1000,0,0,0,0
-78.9,-1000,1000,0,0,0,0
-79.2,137,1000,0,0,0,0
-79.6,-1000,1000,0,0,0,0
-81.6,-92,1000,0,0,0,0
-82.2,-1000,1000,0,0,0,0
-82.7,2,1000,0,0,0,0
-82.9,234,1000,0,1,0,1
-8.3,-43,1000,0,1,0,1
-8.4,-18,1000,0,1,0,1
-8.4,-90,1000,0,0,0,0
-85.8,121,1000,0,1,0,1
-85.8,252,1000,0,0,0,0
-8.62,-19,821,-174,1,10,0
-86.9,162,113,0,1,0,1
-8.6,-99,0,-2314,1,0,0
-8.7,-25,1000,0,1,0,1
-87.3,-105,1000,0,0,0,0
-8.8,-31,1000,0,1,0,1
-88.3,99,1000,0,0,0,1
-88.5,261,1000,0,1,0,1
-88.9,167,1000,0,1,0,1
-8.9,-102,1000,0,0,0,0
-8,-91,468,-1927,1,4434,0
-8.9,15,826,0,0,0,0
-8.9,77,250,0,1,0,1
-90.6,213,1000,0,1,0,1
-9,12,1000,0,0,0,0
-9.1,80,0,0,0,0,0
-9.2,7,1000,0,1,0,1
